model_type,feature,term,masac,seame
all_condition,F0msemax,C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+],,111.6803275447922
all_condition,F0msemax,C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19],,-42.79631902874038
all_condition,F0msemax,C(condition)[T.monolingual_EN]:C(audience_proficiency_proxy)[T.low_l2],1157.468538997791,
all_condition,F0msemax,C(condition)[T.monolingual_EN]:C(audience_proficiency_proxy)[T.mid_l2],-115.91578464985815,
all_condition,F0msemax,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.1],26984947651973.453,
all_condition,F0msemax,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_i]",-87622186789.87958,
all_condition,F0msemax,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_o]",-54436662.77601397,
all_condition,F0msemax,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a],-3538488520568.047,
all_condition,F0msemax,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a,_o]",0.0,
all_condition,F0msemax,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a]",0.0,
all_condition,F0msemax,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i],-40.90330753135352,
all_condition,F0msemax,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_a]",0.0,
all_condition,F0msemax,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_i]",0.0,
all_condition,F0msemax,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o],-134.19041332049525,
all_condition,F0msemax,C(condition)[T.monolingual_EN]:C(gender)[T.male],,-94.28368592533499
all_condition,F0msemax,C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean],,55.410054552000844
all_condition,F0msemax,C(condition)[T.monolingual_HI],-483.4502690845504,
all_condition,F0msemax,C(condition)[T.monolingual_HI]:C(audience_proficiency_proxy)[T.low_l2],692.9889190990714,
all_condition,F0msemax,C(condition)[T.monolingual_HI]:C(audience_proficiency_proxy)[T.mid_l2],193.97387493179335,
all_condition,F0msemax,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.1],2591378114694616.0,
all_condition,F0msemax,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a,_i]",-2155820317.756873,
all_condition,F0msemax,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a,_o]",1197483.1154056962,
all_condition,F0msemax,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a],2277101718444.3506,
all_condition,F0msemax,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i,_a,_o]",0.0,
all_condition,F0msemax,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i,_a]",0.0,
all_condition,F0msemax,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i],-142.8769887104924,
all_condition,F0msemax,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o,_a]",0.0,
all_condition,F0msemax,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o,_i]",0.0,
all_condition,F0msemax,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o],1978.085392361337,
all_condition,F0msemax,C(condition)[T.monolingual_ZH],,57.718862556463165
all_condition,F0msemax,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+],,-93.9476579954211
all_condition,F0msemax,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19],,203.13307267610014
all_condition,F0msemax,C(condition)[T.monolingual_ZH]:C(gender)[T.male],,67.14620776855087
all_condition,F0msemax,C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean],,-218.5541207846037
all_condition,F0msemax,C(dialogue_act)[T.1],-2591378114695035.0,
all_condition,F0msemax,"C(dialogue_act)[T.a,_i]",518.0952629442563,
all_condition,F0msemax,"C(dialogue_act)[T.a,_o]",-616.1150796391504,
all_condition,F0msemax,C(dialogue_act)[T.a],139.96578173914227,
all_condition,F0msemax,"C(dialogue_act)[T.i,_a,_o]",-511.70533049442963,
all_condition,F0msemax,"C(dialogue_act)[T.i,_a]",459.48235912232093,
all_condition,F0msemax,C(dialogue_act)[T.i],60.05210378005051,
all_condition,F0msemax,"C(dialogue_act)[T.o,_a]",1399.331657736975,
all_condition,F0msemax,"C(dialogue_act)[T.o,_i]",1038.4277024752387,
all_condition,F0msemax,C(dialogue_act)[T.o],-244.20239726700493,
all_condition,F0msemax,C(gender)[T.male],,-369.28849480512054
all_condition,F0msemax,C(nationality)[T.singaporean],,237.70038166911678
all_condition,F0msemax,Intercept,1376.361093112465,342.69092137909644
all_condition,F0msemax,has_discourse_marker[T.True],210.98149342936358,32.82732974406627
all_condition,F0msemax,has_repetition[T.True],323.3832081790781,49.07361878000398
all_condition,F0msemin,C(age_bucket)[T.25+],,-18.319973824703908
all_condition,F0msemin,C(age_bucket)[T.<19],,295.9444548158862
all_condition,F0msemin,C(audience_proficiency_proxy)[T.low_l2],17.50557018055519,
all_condition,F0msemin,C(audience_proficiency_proxy)[T.mid_l2],5.4288862218833716,
all_condition,F0msemin,C(condition)[T.monolingual_EN],30.224133593563742,-16.839470453742877
all_condition,F0msemin,C(condition)[T.monolingual_EN]:C(age_bucket)[T.25+],,22.583312619222024
all_condition,F0msemin,C(condition)[T.monolingual_EN]:C(age_bucket)[T.<19],,-50.38254666612297
all_condition,F0msemin,C(condition)[T.monolingual_EN]:C(audience_proficiency_proxy)[T.low_l2],-78.44442900673548,
all_condition,F0msemin,C(condition)[T.monolingual_EN]:C(audience_proficiency_proxy)[T.mid_l2],-43.295952742055995,
all_condition,F0msemin,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.1],-11316731635.699402,
all_condition,F0msemin,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_i]",36746292.267187774,
all_condition,F0msemin,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_o]",22829.21248261904,
all_condition,F0msemin,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a],1483943030.0078182,
all_condition,F0msemin,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a,_o]",0.0,
all_condition,F0msemin,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a]",0.0,
all_condition,F0msemin,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i],-37.8383388833131,
all_condition,F0msemin,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_a]",0.0,
all_condition,F0msemin,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_i]",0.0,
all_condition,F0msemin,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o],-11.794969154946475,
all_condition,F0msemin,C(condition)[T.monolingual_EN]:C(gender)[T.male],,-44.57026651772698
all_condition,F0msemin,C(condition)[T.monolingual_EN]:C(nationality)[T.singaporean],,4.665029841771063
all_condition,F0msemin,C(condition)[T.monolingual_HI],10.43408665094309,
all_condition,F0msemin,C(condition)[T.monolingual_HI]:C(audience_proficiency_proxy)[T.low_l2],-32.9638600416347,
all_condition,F0msemin,C(condition)[T.monolingual_HI]:C(audience_proficiency_proxy)[T.mid_l2],-6.505735887464747,
all_condition,F0msemin,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.1],-1086751438949.0645,
all_condition,F0msemin,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a,_i]",904090.6917994563,
all_condition,F0msemin,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a,_o]",-502.1908965732646,
all_condition,F0msemin,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a],-954952716.1281223,
all_condition,F0msemin,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i,_a,_o]",0.0,
all_condition,F0msemin,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i,_a]",0.0,
all_condition,F0msemin,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i],-8.609694289956149,
all_condition,F0msemin,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o,_a]",0.0,
all_condition,F0msemin,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o,_i]",0.0,
all_condition,F0msemin,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o],-0.28190728201930426,
all_condition,F0msemin,C(condition)[T.monolingual_ZH],,-117.99036024027312
all_condition,F0msemin,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.25+],,67.67744177124
all_condition,F0msemin,C(condition)[T.monolingual_ZH]:C(age_bucket)[T.<19],,134.73230649880256
all_condition,F0msemin,C(condition)[T.monolingual_ZH]:C(gender)[T.male],,115.29528401601127
all_condition,F0msemin,C(condition)[T.monolingual_ZH]:C(nationality)[T.singaporean],,-3.122187499036862
all_condition,F0msemin,C(dialogue_act)[T.1],1086751438940.1641,
all_condition,F0msemin,"C(dialogue_act)[T.a,_i]",-14.768705536374924,
all_condition,F0msemin,"C(dialogue_act)[T.a,_o]",-16.53787706186253,
all_condition,F0msemin,C(dialogue_act)[T.a],-12.988169143047713,
all_condition,F0msemin,"C(dialogue_act)[T.i,_a,_o]",-16.986445681206526,
all_condition,F0msemin,"C(dialogue_act)[T.i,_a]",-14.99452261979632,
all_condition,F0msemin,C(dialogue_act)[T.i],-10.697145520663305,
all_condition,F0msemin,"C(dialogue_act)[T.o,_a]",20.592914490355117,
all_condition,F0msemin,"C(dialogue_act)[T.o,_i]",-8.914919683550606,
all_condition,F0msemin,C(dialogue_act)[T.o],-20.956703942483806,
all_condition,F0msemin,C(gender)[T.male],,-295.2503380647004
all_condition,F0msemin,C(nationality)[T.singaporean],,166.1598386539835
all_condition,F0msemin,Intercept,43.46688846921731,221.31976933628025
all_condition,F0msemin,has_discourse_marker[T.True],-26.458921745681504,1.5921287839609182
