corpus,model_type,feature,term,coef,p_value,aic,n
masac,all_condition,F0tiltmax,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.1],2333547083303743.5,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a],-3186424057396.764,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a],2050539843386.514,,99776.72024730511,6476
masac,all_condition,F0tiltmax,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_i]",-78904154224.63034,,99776.72024730511,6476
masac,all_condition,F0tiltmax,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a,_i]",-1941325422.986658,,99776.72024730511,6476
masac,all_condition,F0tiltmax,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.a,_o]",-49020447.81709253,,99776.72024730511,6476
masac,all_condition,F0tiltmax,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.a,_o]",1078338.6706148237,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i],42.10609548783518,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i],-96.70119362407326,,99776.72024730511,6476
masac,all_condition,F0tiltmax,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a]",0.0,,99776.72024730511,6476
masac,all_condition,F0tiltmax,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i,_a]",0.0,,99776.72024730511,6476
masac,all_condition,F0tiltmax,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.i,_a,_o]",0.0,,99776.72024730511,6476
masac,all_condition,F0tiltmax,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.i,_a,_o]",0.0,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o],62.44463170971487,,99776.72024730511,6476
masac,all_condition,F0tiltmax,C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o],183.66178150183447,,99776.72024730511,6476
masac,all_condition,F0tiltmax,"C(condition)[T.monolingual_EN]:C(dialogue_act)[T.o,_a]",0.0,,99776.72024730511,6476
masac,all_condition,F0tiltmax,"C(condition)[T.monolingual_HI]:C(dialogue_act)[T.o,_a]",0.0,,99776.72024730511,6476
